"id","ecid","chip_sensor_name","sensor_id","sensor_channel_id","mode_id","result","insertion_timestamp","device","generation_timestamp"
8890011,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:11:00"
8890051,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:12:00"
8890091,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:13:00"
8890131,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:14:00"
8890171,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:15:00"
8890211,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:16:00"
8890251,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:17:00"
8890291,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:18:00"
8890331,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:19:00"
8890371,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:20:00"
8890411,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:21:00"
8890451,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:22:00"
8890491,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:23:00"
8890531,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:24:00"
8890571,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:25:00"
8890611,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:26:00"
8890651,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:27:00"
8890691,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:28:00"
8890731,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:29:00"
8890771,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:30:00"
8890811,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:31:00"
8890851,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:32:00"
8890891,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:33:00"
8890931,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:34:00"
8890971,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:35:00"
8891011,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:36:00"
8891051,"snpsit164","coretemp-isa-0000-Core0",1,0,1,56.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:37:00"
8891091,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:38:00"
8891131,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:39:00"
8891171,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:40:00"
8891211,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:41:00"
8891251,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:42:00"
8891291,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:43:00"
8891331,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:44:00"
8891371,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:45:00"
8891411,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:46:00"
8891451,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:47:00"
8891491,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:48:00"
8891531,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:49:00"
8891571,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:50:00"
8891611,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:51:00"
8891651,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:52:00"
8891691,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:53:00"
8891731,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:54:00"
8891771,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:55:00"
8891811,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:56:00"
8891851,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:57:00"
8891891,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:58:00"
8891931,"snpsit164","coretemp-isa-0000-Core0",1,0,1,55.0,"2023-01-14 14:00:04.456+00","System","2023-01-14 05:59:00"
